0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:40 -0300] "GET /angularjs_spring_mvc/resources/img/delete-icon.png HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:40 -0300] "GET /angularjs_spring_mvc/resources/img/edit-icon.png HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:40 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:43 -0300] "GET /angularjs_spring_mvc/equipamento/recuperar/7 HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:43 -0300] "GET /angularjs_spring_mvc/fabricante/listar HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:45 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:47 -0300] "GET /angularjs_spring_mvc/equipamento/recuperar/11 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:47 -0300] "GET /angularjs_spring_mvc/fabricante/listar HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:55 -0300] "POST /angularjs_spring_mvc/equipamento/salvar HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:05:55 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:06:03 -0300] "POST /angularjs_spring_mvc/equipamento/excluir/11 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:06:03 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:06:16 -0300] "GET /angularjs_spring_mvc/equipamento/sair HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:06:16 -0300] "GET /angularjs_spring_mvc/inicialEquipamento.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:00:06:16 -0300] "GET /angularjs_spring_mvc/publico/login.html HTTP/1.1" 304 -
