0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:24 -0300] "GET /angularjs_spring_mvc/evento/listar?start=2018-07-01&end=2018-08-12&_=1531966703015 HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:43 -0300] "POST /angularjs_spring_mvc/evento/salvar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:18:43 -0300] "GET /angularjs_spring_mvc/evento/listar?start=2018-07-01&end=2018-08-12&_=1531966703016 HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:28:38 -0300] "POST /angularjs_spring_mvc/evento/salvar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:28:39 -0300] "GET /angularjs_spring_mvc/evento/listar?start=2018-07-01&end=2018-08-12&_=1531966703017 HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:29:33 -0300] "POST /angularjs_spring_mvc/evento/salvar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:29:33 -0300] "GET /angularjs_spring_mvc/evento/listar?start=2018-07-01&end=2018-08-12&_=1531966703018 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:35:20 -0300] "POST /angularjs_spring_mvc/evento/salvar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:35:20 -0300] "GET /angularjs_spring_mvc/evento/listar?start=2018-07-01&end=2018-08-12&_=1531966703019 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:39:14 -0300] "GET /angularjs_spring_mvc/evento/listar?start=2018-07-01&end=2018-08-12&_=1531967953457 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:31 -0300] "GET /angularjs_spring_mvc/ HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:40 -0300] "POST /angularjs_spring_mvc/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:40 -0300] "GET /angularjs_spring_mvc/inicial.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:41 -0300] "GET /angularjs_spring_mvc/agenda/autenticar HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:42 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:44 -0300] "GET /angularjs_spring_mvc/equipamento/cadastro.html HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:44 -0300] "GET /angularjs_spring_mvc/fabricante/listar HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:50 -0300] "POST /angularjs_spring_mvc/equipamento/salvar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jul/2018:23:40:51 -0300] "GET /angularjs_spring_mvc/equipamento/listar HTTP/1.1" 200 584
